transaction_id,amount,transaction_type,hour,distance_from_home_km,distance_from_last_txn_km,account_age_days,num_txns_last_24h,is_foreign,is_high_risk_merchant,is_fraud
TXN100000,83.94,purchase,22,7.63,0.1,804,1,0,0,0
TXN100001,85.53,purchase,13,2.73,5.82,260,2,0,0,0
TXN100002,76.76,purchase,12,6.14,0.8,3073,0,0,0,0
TXN100003,60.41,purchase,16,0.45,4.29,3472,5,0,0,0
TXN100004,43.72,transfer,18,5.37,12.93,934,1,1,0,0
TXN100005,10.01,online,22,0.28,3.45,3407,1,0,1,0
TXN100006,142.01,withdrawal,20,23.93,2.34,1260,3,0,0,0
TXN100007,68.04,purchase,14,3.93,6.79,2491,2,0,0,0
TXN100008,47.59,online,14,1.9,10.43,3231,1,0,0,0
TXN100009,28.89,withdrawal,19,6.66,5.39,3012,2,0,0,0
TXN100010,9.74,online,18,5.02,0.28,2409,4,0,0,0
TXN100011,141.74,online,12,17.46,2.24,313,5,0,0,0
TXN100012,71.34,withdrawal,14,15.51,4.95,484,4,0,0,0
TXN100013,139.82,transfer,19,9.87,1.63,3586,3,0,0,0
TXN100014,23.71,withdrawal,16,13.1,18.74,976,3,0,0,0
TXN100015,64.87,transfer,14,39.49,3.71,1301,3,0,0,0
TXN100016,127.38,refund,13,4.74,3.86,621,1,0,0,0
TXN100017,53.14,transfer,10,17.48,14.48,2421,2,0,1,0
TXN100018,173.9,online,14,0.94,0.28,3243,2,0,0,0
TXN100019,56.68,purchase,21,2.75,0.28,1133,4,0,0,0
TXN100020,72.94,withdrawal,15,8.63,0.41,3169,2,0,0,0
TXN100021,29.44,purchase,15,42.47,8.31,1977,1,0,1,0
TXN100022,81.77,refund,13,1.63,0.25,445,1,0,0,0
TXN100023,179.07,withdrawal,12,4.54,2.31,2103,1,0,1,0
TXN100024,49.41,purchase,16,4.9,9.61,3430,1,0,0,0
TXN100025,1022.06,refund,0,31.29,162.32,135,13,1,0,1
TXN100026,72.82,withdrawal,11,3.56,5.15,771,3,0,0,0
TXN100027,64.45,withdrawal,12,3.41,0.04,1170,0,0,0,0
TXN100028,77.85,refund,18,3.85,4.26,3581,1,0,0,0
TXN100029,10.43,purchase,15,2.65,0.32,2603,1,0,0,0
TXN100030,39.24,withdrawal,15,7.01,1.86,3512,3,0,0,0
TXN100031,53.45,purchase,14,11.32,4.71,3591,0,0,0,0
TXN100032,78.81,transfer,13,20.24,6.16,119,3,0,0,0
TXN100033,350.47,online,2,64.88,76.05,263,8,1,1,1
TXN100034,142.7,purchase,11,0.03,3.31,2314,1,0,0,0
TXN100035,178.89,online,6,0.33,9.74,2979,2,0,0,0
TXN100036,144.84,purchase,5,22.4,10.57,2838,1,0,1,0
TXN100037,96.37,purchase,13,6.6,6.82,2072,2,0,0,0
TXN100038,61.96,online,7,0.95,5.51,1403,0,0,0,0
TXN100039,123.1,purchase,16,5.73,8.78,1654,3,0,1,0
TXN100040,147.11,online,13,4.46,0.44,2004,1,0,0,0
TXN100041,101.01,purchase,12,17.67,1.22,3382,1,0,0,0
TXN100042,107.17,purchase,14,26.22,0.12,3220,1,0,0,0
TXN100043,108.55,online,12,5.99,0.95,2359,3,0,0,0
TXN100044,27.38,transfer,15,0.74,16.84,93,0,1,0,0
TXN100045,106.44,transfer,9,7.97,0.42,1945,3,1,0,0
TXN100046,156.87,purchase,18,7.5,4.27,199,1,0,0,0
TXN100047,47.61,purchase,12,3.25,8.57,1295,3,0,0,0
TXN100048,61.46,online,12,2.94,1.92,1613,3,0,0,0
TXN100049,48.39,withdrawal,12,17.96,1.73,3317,1,0,0,0
TXN100050,45.44,online,15,9.09,2.79,833,2,0,0,0
